Name,Count,Year,Month
Manhattan Bridge Ped Path,4669,2015,10
Manhattan Bridge Ped Path,3574,2015,11
Manhattan Bridge Ped Path,2936,2015,12
Manhattan Bridge Ped Path,1994,2016,1
Manhattan Bridge Ped Path,1959,2016,2
Manhattan Bridge Ped Path,3579,2016,3
Manhattan Bridge Ped Path,4566,2016,4
Manhattan Bridge Ped Path,5313,2016,5
Manhattan Bridge Ped Path,6116,2016,6
Manhattan Bridge Ped Path,6279,2016,7
Manhattan Bridge Ped Path,6701,2016,8
Manhattan Bridge Ped Path,6343,2016,9
Manhattan Bridge Ped Path,5024,2016,10
Manhattan Bridge Ped Path,4042,2016,11
Manhattan Bridge Ped Path,2990,2016,12
Manhattan Bridge Ped Path,2647,2017,1
Manhattan Bridge Ped Path,3150,2017,2
Manhattan Bridge Ped Path,2738,2017,3
Manhattan Bridge Ped Path,5386,2017,4
Manhattan Bridge Ped Path,6063,2017,5
Manhattan Bridge Ped Path,6718,2017,6
Manhattan Bridge Ped Path,7476,2017,7
Manhattan Bridge Ped Path,7990,2017,8
Manhattan Bridge Ped Path,7432,2017,9
Manhattan Bridge Ped Path,7517,2017,10
Manhattan Bridge Ped Path,4432,2017,11
Manhattan Bridge Ped Path,2904,2017,12
Manhattan Bridge Ped Path,2469,2018,1
Manhattan Bridge Ped Path,3146,2018,2
Manhattan Bridge Ped Path,3466,2018,3
Manhattan Bridge Ped Path,4641,2018,4
Manhattan Bridge Ped Path,6673,2018,5
Manhattan Bridge Ped Path,7921,2018,6
Manhattan Bridge Ped Path,7018,2018,7
Manhattan Bridge Ped Path,6401,2018,8
Manhattan Bridge Ped Path,6009,2018,9
Manhattan Bridge Ped Path,5497,2018,10
Manhattan Bridge Ped Path,3628,2018,11
Manhattan Bridge Ped Path,2996,2018,12
Manhattan Bridge Ped Path,2404,2019,1
Manhattan Bridge Ped Path,2561,2019,2
Manhattan Bridge Ped Path,3541,2019,3
Manhattan Bridge Ped Path,5190,2019,4
Manhattan Bridge Ped Path,5910,2019,5
Manhattan Bridge Ped Path,6485,2019,6
Manhattan Bridge Ped Path,6960,2019,7
Manhattan Bridge Ped Path,7052,2019,8
Manhattan Bridge Ped Path,6912,2019,9
Manhattan Bridge Ped Path,5165,2019,10
Manhattan Bridge Ped Path,3380,2019,11
Manhattan Bridge Ped Path,2386,2019,12
Manhattan Bridge Ped Path,2896,2020,1
Manhattan Bridge Ped Path,2638,2020,2
Manhattan Bridge Ped Path,3793,2020,3
Manhattan Bridge Ped Path,3801,2020,4
Manhattan Bridge Ped Path,7886,2020,5
Manhattan Bridge Ped Path,10528,2020,6
Manhattan Bridge Ped Path,9466,2020,7
Manhattan Bridge Ped Path,9630,2020,8
Manhattan Bridge Ped Path,9383,2020,9
Manhattan Bridge Ped Path,7671,2020,10
Manhattan Bridge Ped Path,5659,2020,11
Manhattan Bridge Ped Path,3517,2020,12
Manhattan Bridge Ped Path,3414,2021,1
Manhattan Bridge Ped Path,2112,2021,2
Manhattan Bridge Ped Path,4768,2021,3
Manhattan Bridge Ped Path,5396,2021,4
Manhattan Bridge Ped Path,6281,2021,5
Manhattan Bridge Ped Path,7099,2021,6
Manhattan Bridge Ped Path,7189,2021,7
Manhattan Bridge Ped Path,7189,2021,8
Manhattan Bridge Ped Path,7506,2021,9
Manhattan Bridge Ped Path,6265,2021,10
Manhattan Bridge Ped Path,4407,2021,11
Manhattan Bridge Ped Path,3563,2021,12
Manhattan Bridge Ped Path,2253,2022,1
Manhattan Bridge Ped Path,2504,2022,2
Manhattan Bridge Ped Path,3762,2022,3
Manhattan Bridge Ped Path,4528,2022,4
Manhattan Bridge Ped Path,7965,2022,5
Manhattan Bridge Ped Path,6341,2022,6
Manhattan Bridge Ped Path,6583,2022,7
Manhattan Bridge Ped Path,7187,2022,8
Manhattan Bridge Ped Path,6144,2022,9
Manhattan Bridge Ped Path,5086,2022,10
Manhattan Bridge Ped Path,4295,2022,11
Manhattan Bridge Ped Path,3072,2022,12
Manhattan Bridge Ped Path,3191,2023,1
Manhattan Bridge Ped Path,3236,2023,2
Manhattan Bridge Ped Path,3842,2023,3
Manhattan Bridge Ped Path,4439,2023,4
Manhattan Bridge Ped Path,5420,2023,5
Manhattan Bridge Ped Path,5307,2023,6
Manhattan Bridge Ped Path,5369,2023,7
Manhattan Bridge Ped Path,6169,2023,8
Manhattan Bridge Ped Path,5214,2023,9
Comprehensive Brooklyn Bridge Counter,8221,2013,12
Comprehensive Brooklyn Bridge Counter,14585,2014,1
Comprehensive Brooklyn Bridge Counter,10517,2014,2
Comprehensive Brooklyn Bridge Counter,28579,2014,3
Comprehensive Brooklyn Bridge Counter,63420,2014,4
Comprehensive Brooklyn Bridge Counter,90961,2014,5
Comprehensive Brooklyn Bridge Counter,95580,2014,6
Comprehensive Brooklyn Bridge Counter,94263,2014,7
Comprehensive Brooklyn Bridge Counter,98399,2014,8
Comprehensive Brooklyn Bridge Counter,40822,2014,9
Comprehensive Brooklyn Bridge Counter,0,2014,10
Comprehensive Brooklyn Bridge Counter,0,2014,11
Comprehensive Brooklyn Bridge Counter,12739,2014,12
Comprehensive Brooklyn Bridge Counter,14563,2015,1
Comprehensive Brooklyn Bridge Counter,7744,2015,2
Comprehensive Brooklyn Bridge Counter,24137,2015,3
Comprehensive Brooklyn Bridge Counter,63999,2015,4
Comprehensive Brooklyn Bridge Counter,104928,2015,5
Comprehensive Brooklyn Bridge Counter,87085,2015,6
Comprehensive Brooklyn Bridge Counter,100731,2015,7
Comprehensive Brooklyn Bridge Counter,112621,2015,8
Comprehensive Brooklyn Bridge Counter,101522,2015,9
Comprehensive Brooklyn Bridge Counter,77015,2015,10
Comprehensive Brooklyn Bridge Counter,56406,2015,11
Comprehensive Brooklyn Bridge Counter,41284,2015,12
Comprehensive Brooklyn Bridge Counter,23133,2016,1
Comprehensive Brooklyn Bridge Counter,25331,2016,2
Comprehensive Brooklyn Bridge Counter,57867,2016,3
Comprehensive Brooklyn Bridge Counter,68096,2016,4
Comprehensive Brooklyn Bridge Counter,84513,2016,5
Comprehensive Brooklyn Bridge Counter,108407,2016,6
Comprehensive Brooklyn Bridge Counter,115010,2016,7
Comprehensive Brooklyn Bridge Counter,106061,2016,8
Comprehensive Brooklyn Bridge Counter,90605,2016,9
Comprehensive Brooklyn Bridge Counter,76111,2016,10
Comprehensive Brooklyn Bridge Counter,52504,2016,11
Comprehensive Brooklyn Bridge Counter,28363,2016,12
Comprehensive Brooklyn Bridge Counter,23689,2017,1
Comprehensive Brooklyn Bridge Counter,31324,2017,2
Comprehensive Brooklyn Bridge Counter,27589,2017,3
Comprehensive Brooklyn Bridge Counter,67506,2017,4
Comprehensive Brooklyn Bridge Counter,75995,2017,5
Comprehensive Brooklyn Bridge Counter,82716,2017,6
Comprehensive Brooklyn Bridge Counter,85443,2017,7
Comprehensive Brooklyn Bridge Counter,94882,2017,8
Comprehensive Brooklyn Bridge Counter,86874,2017,9
Comprehensive Brooklyn Bridge Counter,80153,2017,10
Comprehensive Brooklyn Bridge Counter,46525,2017,11
Comprehensive Brooklyn Bridge Counter,27546,2017,12
Comprehensive Brooklyn Bridge Counter,20519,2018,1
Comprehensive Brooklyn Bridge Counter,28768,2018,2
Comprehensive Brooklyn Bridge Counter,31315,2018,3
Comprehensive Brooklyn Bridge Counter,51776,2018,4
Comprehensive Brooklyn Bridge Counter,88855,2018,5
Comprehensive Brooklyn Bridge Counter,84022,2018,6
Comprehensive Brooklyn Bridge Counter,85611,2018,7
Comprehensive Brooklyn Bridge Counter,89836,2018,8
Comprehensive Brooklyn Bridge Counter,74181,2018,9
Comprehensive Brooklyn Bridge Counter,68903,2018,10
Comprehensive Brooklyn Bridge Counter,33808,2018,11
Comprehensive Brooklyn Bridge Counter,23378,2018,12
Comprehensive Brooklyn Bridge Counter,20860,2019,1
Comprehensive Brooklyn Bridge Counter,20561,2019,2
Comprehensive Brooklyn Bridge Counter,30487,2019,3
Comprehensive Brooklyn Bridge Counter,57160,2019,4
Comprehensive Brooklyn Bridge Counter,62291,2019,5
Comprehensive Brooklyn Bridge Counter,63180,2019,6
Comprehensive Brooklyn Bridge Counter,66632,2019,7
Comprehensive Brooklyn Bridge Counter,76520,2019,8
Comprehensive Brooklyn Bridge Counter,71835,2019,9
Comprehensive Brooklyn Bridge Counter,54994,2019,10
Comprehensive Brooklyn Bridge Counter,32892,2019,11
Comprehensive Brooklyn Bridge Counter,16140,2019,12
Comprehensive Brooklyn Bridge Counter,23901,2020,1
Comprehensive Brooklyn Bridge Counter,21331,2020,2
Comprehensive Brooklyn Bridge Counter,31730,2020,3
Comprehensive Brooklyn Bridge Counter,26809,2020,4
Comprehensive Brooklyn Bridge Counter,57215,2020,5
Comprehensive Brooklyn Bridge Counter,66548,2020,6
Comprehensive Brooklyn Bridge Counter,60221,2020,7
Comprehensive Brooklyn Bridge Counter,65570,2020,8
Comprehensive Brooklyn Bridge Counter,70749,2020,9
Comprehensive Brooklyn Bridge Counter,58944,2020,10
Comprehensive Brooklyn Bridge Counter,44208,2020,11
Comprehensive Brooklyn Bridge Counter,23450,2020,12
Comprehensive Brooklyn Bridge Counter,23654,2021,1
Comprehensive Brooklyn Bridge Counter,10897,2021,2
Comprehensive Brooklyn Bridge Counter,34698,2021,3
Comprehensive Brooklyn Bridge Counter,46198,2021,4
Comprehensive Brooklyn Bridge Counter,62302,2021,5
Comprehensive Brooklyn Bridge Counter,67370,2021,6
Comprehensive Brooklyn Bridge Counter,59012,2021,7
Comprehensive Brooklyn Bridge Counter,59274,2021,8
Comprehensive Brooklyn Bridge Counter,98264,2021,9
Comprehensive Brooklyn Bridge Counter,113609,2021,10
Comprehensive Brooklyn Bridge Counter,75343,2021,11
Comprehensive Brooklyn Bridge Counter,46737,2021,12
Comprehensive Brooklyn Bridge Counter,16881,2022,1
Comprehensive Brooklyn Bridge Counter,38181,2022,2
Comprehensive Brooklyn Bridge Counter,61073,2022,3
Comprehensive Brooklyn Bridge Counter,83581,2022,4
Comprehensive Brooklyn Bridge Counter,109151,2022,5
Comprehensive Brooklyn Bridge Counter,122683,2022,6
Comprehensive Brooklyn Bridge Counter,121886,2022,7
Comprehensive Brooklyn Bridge Counter,129608,2022,8
Comprehensive Brooklyn Bridge Counter,108968,2022,9
Comprehensive Brooklyn Bridge Counter,92516,2022,10
Comprehensive Brooklyn Bridge Counter,74868,2022,11
Comprehensive Brooklyn Bridge Counter,42776,2022,12
Comprehensive Brooklyn Bridge Counter,51699,2023,1
Comprehensive Brooklyn Bridge Counter,50865,2023,2
Comprehensive Brooklyn Bridge Counter,67738,2023,3
Comprehensive Brooklyn Bridge Counter,100535,2023,4
Comprehensive Brooklyn Bridge Counter,136538,2023,5
Comprehensive Brooklyn Bridge Counter,121433,2023,6
Comprehensive Brooklyn Bridge Counter,126213,2023,7
Comprehensive Brooklyn Bridge Counter,148286,2023,8
Comprehensive Brooklyn Bridge Counter,117112,2023,9
Brooklyn Bridge Bicycle Path (Roadway),73141,2021,9
Brooklyn Bridge Bicycle Path (Roadway),113597,2021,10
Brooklyn Bridge Bicycle Path (Roadway),75343,2021,11
Brooklyn Bridge Bicycle Path (Roadway),46737,2021,12
Brooklyn Bridge Bicycle Path (Roadway),16881,2022,1
Brooklyn Bridge Bicycle Path (Roadway),38181,2022,2
Brooklyn Bridge Bicycle Path (Roadway),61073,2022,3
Brooklyn Bridge Bicycle Path (Roadway),83581,2022,4
Brooklyn Bridge Bicycle Path (Roadway),109151,2022,5
Brooklyn Bridge Bicycle Path (Roadway),122683,2022,6
Brooklyn Bridge Bicycle Path (Roadway),121886,2022,7
Brooklyn Bridge Bicycle Path (Roadway),129608,2022,8
Brooklyn Bridge Bicycle Path (Roadway),108968,2022,9
Brooklyn Bridge Bicycle Path (Roadway),92516,2022,10
Brooklyn Bridge Bicycle Path (Roadway),74868,2022,11
Brooklyn Bridge Bicycle Path (Roadway),42776,2022,12
Brooklyn Bridge Bicycle Path (Roadway),51699,2023,1
Brooklyn Bridge Bicycle Path (Roadway),50865,2023,2
Brooklyn Bridge Bicycle Path (Roadway),67738,2023,3
Brooklyn Bridge Bicycle Path (Roadway),100535,2023,4
Brooklyn Bridge Bicycle Path (Roadway),136538,2023,5
Brooklyn Bridge Bicycle Path (Roadway),121433,2023,6
Brooklyn Bridge Bicycle Path (Roadway),126213,2023,7
Brooklyn Bridge Bicycle Path (Roadway),148286,2023,8
Brooklyn Bridge Bicycle Path (Roadway),95671,2023,9
Brooklyn Bridge all Counters,8221,2013,12
Brooklyn Bridge all Counters,14585,2014,1
Brooklyn Bridge all Counters,10517,2014,2
Brooklyn Bridge all Counters,28579,2014,3
Brooklyn Bridge all Counters,63420,2014,4
Brooklyn Bridge all Counters,90961,2014,5
Brooklyn Bridge all Counters,95580,2014,6
Brooklyn Bridge all Counters,94263,2014,7
Brooklyn Bridge all Counters,98399,2014,8
Brooklyn Bridge all Counters,40822,2014,9
Brooklyn Bridge all Counters,0,2014,10
Brooklyn Bridge all Counters,0,2014,11
Brooklyn Bridge all Counters,12739,2014,12
Brooklyn Bridge all Counters,14563,2015,1
Brooklyn Bridge all Counters,7744,2015,2
Brooklyn Bridge all Counters,24137,2015,3
Brooklyn Bridge all Counters,63999,2015,4
Brooklyn Bridge all Counters,104928,2015,5
Brooklyn Bridge all Counters,87085,2015,6
Brooklyn Bridge all Counters,100731,2015,7
Brooklyn Bridge all Counters,112621,2015,8
Brooklyn Bridge all Counters,101522,2015,9
Brooklyn Bridge all Counters,77015,2015,10
Brooklyn Bridge all Counters,56406,2015,11
Brooklyn Bridge all Counters,41284,2015,12
Brooklyn Bridge all Counters,23133,2016,1
Brooklyn Bridge all Counters,25331,2016,2
Brooklyn Bridge all Counters,57867,2016,3
Brooklyn Bridge all Counters,68096,2016,4
Brooklyn Bridge all Counters,84513,2016,5
Brooklyn Bridge all Counters,108407,2016,6
Brooklyn Bridge all Counters,115010,2016,7
Brooklyn Bridge all Counters,106061,2016,8
Brooklyn Bridge all Counters,90605,2016,9
Brooklyn Bridge all Counters,76111,2016,10
Brooklyn Bridge all Counters,52504,2016,11
Brooklyn Bridge all Counters,28363,2016,12
Brooklyn Bridge all Counters,23689,2017,1
Brooklyn Bridge all Counters,31324,2017,2
Brooklyn Bridge all Counters,27589,2017,3
Brooklyn Bridge all Counters,67506,2017,4
Brooklyn Bridge all Counters,75995,2017,5
Brooklyn Bridge all Counters,82716,2017,6
Brooklyn Bridge all Counters,85443,2017,7
Brooklyn Bridge all Counters,94882,2017,8
Brooklyn Bridge all Counters,86874,2017,9
Brooklyn Bridge all Counters,80153,2017,10
Brooklyn Bridge all Counters,46525,2017,11
Brooklyn Bridge all Counters,27546,2017,12
Brooklyn Bridge all Counters,20519,2018,1
Brooklyn Bridge all Counters,28768,2018,2
Brooklyn Bridge all Counters,31315,2018,3
Brooklyn Bridge all Counters,51776,2018,4
Brooklyn Bridge all Counters,88855,2018,5
Brooklyn Bridge all Counters,84022,2018,6
Brooklyn Bridge all Counters,85611,2018,7
Brooklyn Bridge all Counters,89836,2018,8
Brooklyn Bridge all Counters,74181,2018,9
Brooklyn Bridge all Counters,68903,2018,10
Brooklyn Bridge all Counters,33808,2018,11
Brooklyn Bridge all Counters,23378,2018,12
Brooklyn Bridge all Counters,20860,2019,1
Brooklyn Bridge all Counters,20561,2019,2
Brooklyn Bridge all Counters,30487,2019,3
Brooklyn Bridge all Counters,57160,2019,4
Brooklyn Bridge all Counters,62291,2019,5
Brooklyn Bridge all Counters,63180,2019,6
Brooklyn Bridge all Counters,66632,2019,7
Brooklyn Bridge all Counters,76520,2019,8
Brooklyn Bridge all Counters,71835,2019,9
Brooklyn Bridge all Counters,54994,2019,10
Brooklyn Bridge all Counters,32892,2019,11
Brooklyn Bridge all Counters,16140,2019,12
Brooklyn Bridge all Counters,23901,2020,1
Brooklyn Bridge all Counters,21331,2020,2
Brooklyn Bridge all Counters,31730,2020,3
Brooklyn Bridge all Counters,26809,2020,4
Brooklyn Bridge all Counters,57215,2020,5
Brooklyn Bridge all Counters,66548,2020,6
Brooklyn Bridge all Counters,60221,2020,7
Brooklyn Bridge all Counters,65570,2020,8
Brooklyn Bridge all Counters,70749,2020,9
Brooklyn Bridge all Counters,58944,2020,10
Brooklyn Bridge all Counters,44208,2020,11
Brooklyn Bridge all Counters,23450,2020,12
Brooklyn Bridge all Counters,23654,2021,1
Brooklyn Bridge all Counters,10897,2021,2
Brooklyn Bridge all Counters,34698,2021,3
Brooklyn Bridge all Counters,46198,2021,4
Brooklyn Bridge all Counters,62302,2021,5
Brooklyn Bridge all Counters,67370,2021,6
Brooklyn Bridge all Counters,59012,2021,7
Brooklyn Bridge all Counters,59274,2021,8
Brooklyn Bridge all Counters,171405,2021,9
Brooklyn Bridge all Counters,227206,2021,10
Brooklyn Bridge all Counters,150686,2021,11
Brooklyn Bridge all Counters,93474,2021,12
Brooklyn Bridge all Counters,33762,2022,1
Brooklyn Bridge all Counters,76362,2022,2
Brooklyn Bridge all Counters,122146,2022,3
Brooklyn Bridge all Counters,167162,2022,4
Brooklyn Bridge all Counters,218302,2022,5
Brooklyn Bridge all Counters,245366,2022,6
Brooklyn Bridge all Counters,243772,2022,7
Brooklyn Bridge all Counters,259216,2022,8
Brooklyn Bridge all Counters,217936,2022,9
Brooklyn Bridge all Counters,185032,2022,10
Brooklyn Bridge all Counters,149736,2022,11
Brooklyn Bridge all Counters,85552,2022,12
Brooklyn Bridge all Counters,103398,2023,1
Brooklyn Bridge all Counters,101730,2023,2
Brooklyn Bridge all Counters,135476,2023,3
Brooklyn Bridge all Counters,201070,2023,4
Brooklyn Bridge all Counters,273076,2023,5
Brooklyn Bridge all Counters,242866,2023,6
Brooklyn Bridge all Counters,252426,2023,7
Brooklyn Bridge all Counters,296572,2023,8
Brooklyn Bridge all Counters,191342,2023,9
Manhattan Bridge Bike Comprehensive,164460,2023,10
Manhattan Bridge Bike Comprehensive,121917,2023,11
Manhattan Bridge Bike Comprehensive,89809,2023,12
Manhattan Bridge Bike Comprehensive,72289,2024,1
Manhattan Bridge Bike Comprehensive,85214,2024,2
Manhattan Bridge Bike Comprehensive,108835,2024,3
Manhattan Bridge Bike Comprehensive,129281,2024,4
Manhattan Bridge Bike Comprehensive,166823,2024,5
Manhattan Bridge Bike Comprehensive,181419,2024,6
Manhattan Bridge Bike Comprehensive,173118,2024,7
Manhattan Bridge Bike Comprehensive,169101,2024,8
Manhattan Bridge Bike Comprehensive,186068,2024,9
Manhattan Bridge Bike Comprehensive,185463,2024,10
Manhattan Bridge Bike Comprehensive,130834,2024,11
Manhattan Bridge Bike Comprehensive,76558,2024,12
Manhattan Bridge Bike Comprehensive,68373,2025,1
Manhattan Bridge Bike Comprehensive,68546,2025,2
Manhattan Bridge Bike Comprehensive,115617,2025,3
Manhattan Bridge Bike Comprehensive,140053,2025,4
Comprehensive Brooklyn Bridge Counter,130176,2023,10
Comprehensive Brooklyn Bridge Counter,88916,2023,11
Comprehensive Brooklyn Bridge Counter,63557,2023,12
Comprehensive Brooklyn Bridge Counter,49845,2024,1
Comprehensive Brooklyn Bridge Counter,59195,2024,2
Comprehensive Brooklyn Bridge Counter,82388,2024,3
Comprehensive Brooklyn Bridge Counter,106955,2024,4
Comprehensive Brooklyn Bridge Counter,147561,2024,5
Comprehensive Brooklyn Bridge Counter,158132,2024,6
Comprehensive Brooklyn Bridge Counter,154377,2024,7
Comprehensive Brooklyn Bridge Counter,160627,2024,8
Comprehensive Brooklyn Bridge Counter,164009,2024,9
Comprehensive Brooklyn Bridge Counter,164663,2024,10
Comprehensive Brooklyn Bridge Counter,104513,2024,11
Comprehensive Brooklyn Bridge Counter,57164,2024,12
Comprehensive Brooklyn Bridge Counter,48893,2025,1
Comprehensive Brooklyn Bridge Counter,50032,2025,2
Comprehensive Brooklyn Bridge Counter,91950,2025,3
Comprehensive Brooklyn Bridge Counter,118835,2025,4
